mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,32,8,2,1,0,10.00,14542,116333,930648,11632.8,162.2,145.3,217.3,381.3,687.7,1216.0,64.0,0
copy-read,8,32,8,2,1,0,10.00,7855,62837,125671,6283.6,302.3,292.0,362.7,490.7,1273.1,1738.7,16.0,0
slm-copy-read,8,32,8,2,1,0,10.00,7937,63490,126977,6348.8,298.9,277.3,365.3,552.0,1260.0,1920.0,16.0,0
fused,8,32,8,2,1,0,10.00,8713,69699,139394,6969.9,276.0,260.0,365.3,445.3,1147.8,1514.7,16.0,0
vector,8,32,8,2,1,0,10.00,18075,144597,144595,14458.7,130.7,128.0,148.7,234.7,553.2,944.0,8.0,0
