mode,N,C_blocks,K,R,Q,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,32,8,2,1,10.00,18282,146249,1169984,14624.9,128.9,127.3,147.3,230.7,547.0,906.7,64.0,0
copy-read,8,32,8,2,1,10.00,8338,66697,133392,6669.3,285.3,273.3,346.7,490.7,1199.5,1781.3,16.0,0
slm-copy-read,8,32,8,2,1,10.00,6335,50678,101353,5067.6,374.4,288.0,472.0,1877.3,1578.6,6570.7,16.0,0
fused,8,32,8,2,1,10.00,7562,60492,120980,6048.8,317.7,272.0,400.0,1194.7,1322.5,4480.0,16.0,0
vector,8,32,8,2,1,10.00,17940,143518,143516,14351.4,131.6,126.7,157.3,250.7,557.4,997.3,8.0,0
