mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,32,8,8,8,2,10.02,4359,34870,278464,3480.7,17382.2,17322.7,18432.0,20821.3,18387.2,21674.7,63.9,0
copy-read,8,32,8,8,8,2,10.02,3466,27724,55376,2767.3,22010.6,21845.3,23552.0,26965.3,23129.1,27648.0,16.0,0
slm-copy-read,8,32,8,8,8,2,10.02,3490,27914,55728,2785.6,21867.6,21845.3,22869.3,25429.3,22977.9,26282.7,16.0,0
fused,8,32,8,8,8,2,57.99,8,0,0,0.0,0.0,0.0,0.0,0.0,59992813.2,60118357.3,0.0,128
vector,8,32,8,8,8,2,10.02,4259,34070,34008,3400.6,17788.3,17578.7,19456.0,23552.0,18818.2,24746.7,8.0,0
partial,8,32,8,8,8,4,10.02,4563,36504,291520,3644.8,16599.7,16128.0,18005.3,33280.0,17561.2,35157.3,63.9,0
copy-read,8,32,8,8,8,4,10.02,3790,30315,60528,3025.8,20130.9,20138.7,21077.3,22528.0,21154.9,23210.7,16.0,0
slm-copy-read,8,32,8,8,8,4,10.02,3798,30379,60696,3032.3,20082.2,20138.7,20992.0,22528.0,21105.2,23381.3,16.0,0
fused,8,32,8,8,8,4,10.02,4291,34327,68528,3426.2,17656.9,17664.0,18602.7,20053.3,18678.6,20821.3,16.0,0
vector,8,32,8,8,8,4,10.02,4394,35147,35088,3509.0,17241.2,17237.3,18090.7,20394.7,18239.0,21248.0,8.0,0
partial,8,32,8,8,8,8,10.02,4868,38943,311040,3888.1,15560.6,15616.0,16384.0,17749.3,16460.8,18517.3,63.9,0
copy-read,8,32,8,8,8,8,10.02,3593,28743,57368,2869.2,21282.8,21333.3,22357.3,23210.7,22311.1,24064.0,16.0,0
slm-copy-read,8,32,8,8,8,8,10.02,3591,28726,57336,2867.3,21296.1,21333.3,22357.3,23381.3,22327.0,24064.0,16.0,0
fused,8,32,8,8,8,8,10.02,4145,33154,66192,3309.2,18282.2,18005.3,19029.3,23893.3,19340.0,24576.0,16.0,0
vector,8,32,8,8,8,8,10.02,4315,34520,34456,3445.7,17557.9,17493.3,18517.3,20821.3,18573.6,21589.3,8.0,0
partial,8,32,8,8,8,16,10.01,4850,38795,309888,3873.7,15618.7,15616.0,16469.3,18090.7,16522.1,18858.7,63.9,0
copy-read,8,32,8,8,8,16,10.02,3695,29560,59024,2950.3,20621.2,20650.7,21674.7,22186.7,21694.6,22869.3,16.0,0
slm-copy-read,8,32,8,8,8,16,10.02,3728,29820,59546,2976.2,20421.8,20394.7,21504.0,23381.3,21505.9,24405.3,16.0,0
fused,8,32,8,8,8,16,10.02,4169,33346,66576,3328.9,18175.1,18176.0,19200.0,20565.3,19227.5,21248.0,16.0,0
vector,8,32,8,8,8,16,10.02,4228,33822,33760,3376.7,17918.5,17749.3,19029.3,21077.3,18953.8,21760.0,8.0,0
partial,8,32,8,8,8,32,10.02,4808,38458,307200,3839.6,15756.8,15786.7,16640.0,18005.3,16668.2,18688.0,63.9,0
copy-read,8,32,8,8,8,32,10.02,3585,28680,57264,2862.9,21283.7,21248.0,22357.3,24576.0,22359.2,25770.7,16.0,0
slm-copy-read,8,32,8,8,8,32,10.02,3626,29004,57920,2895.0,21040.2,21077.3,22016.0,23722.7,22108.5,24746.7,16.0,0
fused,8,32,8,8,8,32,10.02,4146,33166,66208,3310.9,18273.0,18346.7,19285.3,20309.3,19330.8,21077.3,16.0,0
vector,8,32,8,8,8,32,10.02,4299,34387,34328,3432.9,17623.1,17664.0,18602.7,19626.7,18642.8,20394.7,8.0,0
partial,8,32,8,8,8,64,10.02,4766,38127,304512,3806.4,15895.4,15957.3,16725.3,17664.0,16814.6,18346.7,63.9,0
copy-read,8,32,8,8,8,64,10.02,3433,27458,54856,2741.1,22298.8,22357.3,23552.0,24746.7,23351.8,25258.7,16.0,0
slm-copy-read,8,32,8,8,8,64,10.02,3436,27486,54872,2743.8,22289.2,22357.3,23722.7,25088.0,23331.2,25429.3,16.0,0
fused,8,32,8,8,8,64,10.02,4107,32853,65584,3279.4,18449.4,18517.3,19456.0,20650.7,19517.0,21248.0,16.0,0
vector,8,32,8,8,8,64,10.02,4321,34566,34504,3450.8,17535.0,17578.7,18517.3,19541.3,18546.4,20138.7,8.0,0
