mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,2,128,8,8,2,10.02,1376,175531,1403736,1095.2,3640.3,2698.7,5717.3,12032.0,58411.0,155648.0,1020.2,0
copy-read,8,2,128,8,8,2,10.02,3800,485763,971459,3030.1,1317.2,1269.3,1440.0,2080.0,21124.0,27306.7,255.6,0
slm-copy-read,8,2,128,8,8,2,10.03,2216,282944,565818,1762.6,2263.8,1930.7,3221.3,8704.0,36307.6,111274.7,255.3,0
fused,8,2,128,8,8,2,58.00,8,0,0,0.0,0.0,0.0,0.0,0.0,59997133.3,60118357.3,0.0,1088
vector,8,2,128,8,8,2,10.01,4632,592593,592529,3699.7,1077.9,746.7,1568.0,5504.0,17407.0,61781.3,127.9,0
partial,8,2,128,8,8,4,10.01,3920,501203,4009112,3128.0,1274.3,1226.7,1290.7,2400.0,20460.4,29013.3,1022.7,0
copy-read,8,2,128,8,8,4,10.01,5456,698176,1396236,4360.2,915.3,890.7,1002.7,1418.7,14679.9,19797.3,255.9,0
slm-copy-read,8,2,128,8,8,4,10.02,3933,502818,1005544,3136.7,1271.2,1077.3,1642.7,4010.7,20396.8,39424.0,255.7,0
fused,8,2,128,8,8,4,10.01,5072,648371,1296614,4049.2,984.4,938.7,1210.7,1482.7,15804.0,22016.0,255.6,0
vector,8,2,128,8,8,4,10.00,11416,1460843,1460779,9126.4,436.8,421.3,453.3,741.3,7012.4,10794.7,128.0,0
partial,8,2,128,8,8,8,10.01,5960,762165,6096808,4758.5,837.7,784.0,853.3,1706.7,13449.0,25429.3,1023.0,0
copy-read,8,2,128,8,8,8,10.01,6712,858983,1717866,5362.7,743.3,680.0,922.7,1184.0,11934.3,17408.0,255.9,0
slm-copy-read,8,2,128,8,8,8,10.02,4320,552398,1104701,3444.8,1157.2,821.3,1792.0,5760.0,18575.5,68949.3,255.7,0
fused,8,2,128,8,8,8,10.01,5392,689382,1378636,4305.5,926.2,778.7,1104.0,2026.7,14872.8,33792.0,255.7,0
vector,8,2,128,8,8,8,10.00,12080,1546080,1546016,9660.5,412.6,400.0,453.3,720.0,6624.9,9984.0,128.0,0
partial,8,2,128,8,8,16,10.00,8080,1033883,8270552,6459.2,617.1,589.3,666.7,1045.3,9908.1,14592.0,1023.6,0
copy-read,8,2,128,8,8,16,10.00,7864,1006266,2012437,6287.3,634.0,616.0,704.0,901.3,10179.0,12885.3,255.9,0
slm-copy-read,8,2,128,8,8,16,10.01,6232,797382,1594669,4978.7,800.8,698.7,917.3,2624.0,12853.5,44032.0,255.9,0
fused,8,2,128,8,8,16,10.00,6896,882178,1764228,5512.9,723.0,664.0,874.7,1760.0,11609.6,23040.0,255.8,0
vector,8,2,128,8,8,16,10.01,11080,1417818,1417754,8856.0,450.1,429.3,525.3,784.0,7226.6,10453.3,128.0,0
partial,8,2,128,8,8,32,10.01,7456,953447,7627064,5955.5,669.3,658.7,725.3,1029.3,10745.4,14506.7,1022.9,0
copy-read,8,2,128,8,8,32,10.02,7088,906417,1812745,5654.9,705.0,666.7,778.7,1525.3,11316.3,21333.3,255.7,0
slm-copy-read,8,2,128,8,8,32,10.00,6528,835474,1670853,5220.6,763.6,682.7,853.3,2442.7,12259.1,30037.3,256.0,0
fused,8,2,128,8,8,32,10.00,6080,777372,1554616,4857.2,820.7,640.0,949.3,3946.7,13172.5,44373.3,255.7,0
vector,8,2,128,8,8,32,10.01,10664,1364968,1364904,8524.5,467.6,450.7,541.3,752.0,7507.8,10240.0,128.0,0
partial,8,2,128,8,8,64,10.00,5264,672931,5382936,4203.9,948.2,720.0,1333.3,4373.3,15220.4,50517.3,1022.6,0
copy-read,8,2,128,8,8,64,10.01,6240,798516,1596908,4988.0,799.5,784.0,912.0,1125.3,12830.8,15360.0,255.9,0
slm-copy-read,8,2,128,8,8,64,10.00,4896,626664,1253208,3914.7,1018.7,789.3,1493.3,4501.3,16348.4,43520.0,256.0,0
fused,8,2,128,8,8,64,10.01,7968,1018945,2037762,6362.9,626.5,605.3,698.7,970.7,10058.3,13226.7,255.7,0
vector,8,2,128,8,8,64,10.00,10433,1334657,1334593,8340.7,478.2,469.3,522.7,680.0,7672.7,9642.7,127.9,0
